seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	6259485	6259930	446	*	X00044	6146	6245080	6259679	14600	-	0	overlapStart	0	RPL22
chr1	6259956	6259973	18	*	X00045	6146	6245080	6259679	14600	-	276	upstream	276	RPL22
chr1	6259986	6259999	14	*	X00046	6146	6245080	6259679	14600	-	306	upstream	306	RPL22
chr1	6295821	6295857	37	*	X00047	23463	6281253	6296044	14792	-	0	inside	186	ICMT
chr1	6295872	6295888	17	*	X00048	23463	6281253	6296044	14792	-	0	inside	155	ICMT
chr1	6295903	6295914	12	*	X00049	23463	6281253	6296044	14792	-	0	inside	129	ICMT
chr1	6296018	6296043	26	*	X00050	23463	6281253	6296044	14792	-	0	inside	0	ICMT
chr1	6614429	6614659	231	*	X00052	79707	6581407	6614658	33252	-	0	overlapStart	0	NOL9
chr1	6614429	6614659	231	*	X00052	80835	6615338	6639817	24480	+	678	upstream	678	TAS1R1
chr1	6662477	6662919	443	*	X00057	9903	6650779	6662929	12151	-	0	inside	9	KLHL21
chr1	6673982	6674025	44	*	X00058	148479	6673756	6684093	10338	+	0	inside	225	PHF13
chr1	6674044	6674056	13	*	X00059	148479	6673756	6684093	10338	+	0	inside	287	PHF13
chr1	6761672	6761718	47	*	X00061	55735	6694228	6761966	67739	-	0	inside	247	DNAJC11
chr1	6761730	6761957	228	*	X00062	55735	6694228	6761966	67739	-	0	inside	8	DNAJC11
chr1	7844514	7844529	16	*	X00063	8863	7844380	7905237	60858	+	0	inside	133	PER3
chr1	8021376	8021386	11	*	X00064	11315	8021714	8045342	23629	+	327	upstream	327	PARK7
chr1	8021413	8021536	124	*	X00065	11315	8021714	8045342	23629	+	177	upstream	177	PARK7
chr1	8021632	8022092	461	*	X00066	11315	8021714	8045342	23629	+	0	overlapStart	0	PARK7
chr1	8086187	8086364	178	*	X00067	54206	8071779	8086393	14615	-	0	inside	28	ERRFI1
chr1	8877604	8877778	175	*	X00069	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	8938312	8938499	188	*	X00070	100505975	8938894	8939943	1050	+	394	upstream	394	ENO1-AS1
chr1	8938567	8938648	82	*	X00071	100505975	8938894	8939943	1050	+	245	upstream	245	ENO1-AS1
chr1	8938735	8938766	32	*	X00072	100505975	8938894	8939943	1050	+	127	upstream	127	ENO1-AS1
chr1	8939148	8939226	79	*	X00073	100505975	8938894	8939943	1050	+	0	inside	253	ENO1-AS1
chr1	8939148	8939226	79	*	X00073	2023	8921059	8939151	18093	-	0	overlapStart	0	ENO1
chr1	8939255	8939270	16	*	X00074	2023	8921059	8939151	18093	-	103	upstream	103	ENO1
chr1	9294882	9295120	239	*	X00076	9563	9294863	9331394	36532	+	0	inside	18	H6PD
chr1	9599605	9599708	104	*	X00077	84275	9599528	9642831	43304	+	0	inside	76	SLC25A33
chr1	9649090	9649128	39	*	X00078	199953	9648932	9674935	26004	+	0	inside	157	TMEM201
chr1	9884604	9884659	56	*	X00081	22883	9789079	9884550	95472	-	53	upstream	53	CLSTN1
chr1	9970169	9970343	175	*	X00082	56998	9908334	9970316	61983	-	0	overlapStart	0	CTNNBIP1
chr1	10003197	10003436	240	*	X00083	64802	10003486	10045556	42071	+	49	upstream	49	NMNAT1
chr1	10003197	10003436	240	*	X00083	84328	9989776	10003427	13652	-	0	overlapStart	0	LZIC
chr1	10003542	10003673	132	*	X00084	64802	10003486	10045556	42071	+	0	inside	55	NMNAT1
chr1	10003542	10003673	132	*	X00084	84328	9989776	10003427	13652	-	114	upstream	114	LZIC
chr1	10458717	10458945	229	*	X00085	5226	10459085	10480201	21117	+	139	upstream	139	PGD
chr1	10459037	10459216	180	*	X00086	5226	10459085	10480201	21117	+	0	overlapStart	0	PGD
chr1	10490415	10490724	310	*	X00087	100526739	10490159	10512060	21902	+	0	inside	255	CENPS-CORT
chr1	10490415	10490724	310	*	X00087	378708	10490159	10502872	12714	+	0	inside	255	CENPS
chr1	10532482	10532499	18	*	X00089	1676	10520603	10532613	12011	-	0	inside	113	DFFA
chr1	10532513	10532523	11	*	X00090	1676	10520603	10532613	12011	-	0	inside	89	DFFA
chr1	10534885	10535117	233	*	X00091	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	10535134	10535153	20	*	X00092	5195	10535003	10690815	155813	+	0	inside	130	PEX14
chr1	11072454	11072512	59	*	X00093	23435	11072679	11085549	12871	+	166	upstream	166	TARDBP
chr1	11072615	11072842	228	*	X00094	23435	11072679	11085549	12871	+	0	overlapStart	0	TARDBP
chr1	11159788	11159969	182	*	X00095	5394	11126676	11159938	33263	-	0	overlapStart	0	EXOSC10
chr1	11322924	11323036	113	*	X00096	2475	11166588	11322608	156021	-	315	upstream	315	MTOR
chr1	11333260	11333517	258	*	X00097	29914	11333255	11348491	15237	+	0	inside	4	UBIAD1
chr1	11538883	11538917	35	*	X00098	57540	11539295	11597640	58346	+	377	upstream	377	DISP3
chr1	11539077	11539309	233	*	X00099	57540	11539295	11597640	58346	+	0	overlapStart	0	DISP3
chr1	11994780	11994815	36	*	X00105	5351	11994724	12035599	40876	+	0	inside	55	PLOD1
chr1	12290160	12290192	33	*	X00106	55187	12290113	12572098	281986	+	0	inside	46	VPS13D
chr1	15736398	15736473	76	*	X00107	79180	15736391	15756839	20449	+	0	inside	6	EFHD2
chr1	15853166	15853521	356	*	X00108	23341	15853352	15918874	65523	+	0	overlapStart	0	DNAJC16
chr1	15853166	15853521	356	*	X00108	842	15817324	15851285	33962	-	1880	upstream	1880	CASP9
chr1	16174024	16174285	262	*	X00110	23013	16174359	16266950	92592	+	73	upstream	73	SPEN
chr1	16174345	16174368	24	*	X00111	23013	16174359	16266950	92592	+	0	overlapStart	0	SPEN
chr1	16174345	16174368	24	*	X00111	729614	16160710	16174642	13933	-	0	inside	273	FLJ37453
chr1	16302408	16302643	236	*	X00112	7709	16268364	16302627	34264	-	0	overlapStart	0	ZBTB17
chr1	16482469	16482508	40	*	X00113	1969	16450832	16482582	31751	-	0	inside	73	EPHA2
chr1	16678604	16679185	582	*	X00114	54455	16576559	16678948	102390	-	0	overlapStart	0	FBXO42
chr1	16693791	16693810	20	*	X00115	26099	16693525	16724643	31119	+	0	inside	265	SZRD1
chr1	16767233	16767300	68	*	X00116	55707	16767167	16786584	19418	+	0	inside	65	NECAP2
chr1	16767333	16767374	42	*	X00117	55707	16767167	16786584	19418	+	0	inside	165	NECAP2
chr1	16939773	16940386	614	*	X00121	55672	16888922	16940100	51179	-	0	overlapStart	0	NBPF1
chr1	16970939	16971495	557	*	X00122	11209	16972069	16976915	4847	+	573	upstream	573	MST1P2
chr1	16970939	16971495	557	*	X00122	84809	16944751	16971178	26428	-	0	overlapStart	0	CROCCP2
chr1	17380540	17380612	73	*	X00131	6390	17345225	17380665	35441	-	0	inside	52	SDHB
chr1	19577982	19578361	380	*	X00134	23065	19542158	19578053	35896	-	0	overlapStart	0	EMC1
chr1	19577982	19578361	380	*	X00134	51154	19578075	19586622	8548	+	0	overlapStart	0	MRTO4
chr1	19638501	19638521	21	*	X00135	54896	19638740	19658922	20183	+	218	upstream	218	SLC66A1
chr1	19638501	19638521	21	*	X00135	8574	19629202	19638640	9439	-	0	inside	118	AKR7A2
chr1	19638536	19638588	53	*	X00136	54896	19638740	19658922	20183	+	151	upstream	151	SLC66A1
chr1	19638536	19638588	53	*	X00136	8574	19629202	19638640	9439	-	0	inside	51	AKR7A2
chr1	22109512	22109666	155	*	X00142	84196	22004792	22109688	104897	-	0	inside	21	USP48
chr1	22109688	22109726	39	*	X00143	84196	22004792	22109688	104897	-	0	overlapStart	0	USP48
chr1	22379154	22379300	147	*	X00144	998	22379120	22419436	40317	+	0	inside	33	CDC42
chr1	22778453	22778564	112	*	X00145	9923	22778344	22857650	79307	+	0	inside	108	ZBTB40
chr1	23345762	23346118	357	*	X00146	23028	23345941	23410184	64244	+	0	overlapStart	0	KDM1A
chr1	23670690	23670774	85	*	X00147	10236	23636276	23670853	34578	-	0	inside	78	HNRNPR
chr1	24018188	24018431	244	*	X00151	6135	24018269	24022915	4647	+	0	overlapStart	0	RPL11
chr1	24069888	24070103	216	*	X00152	6924	24069856	24088549	18694	+	0	inside	31	ELOA
chr1	24104891	24105126	236	*	X00153	100506963	24086872	24104787	17916	-	103	upstream	103	ELOA-AS1
chr1	24104891	24105126	236	*	X00153	57095	24104876	24114722	9847	+	0	inside	14	PITHD1
chr1	24285557	24285599	43	*	X00155	55629	24286301	24289949	3649	+	701	upstream	701	PNRC2
chr1	24286245	24286266	22	*	X00156	55629	24286301	24289949	3649	+	34	upstream	34	PNRC2
chr1	24969273	24969352	80	*	X00158	10250	24969594	24999772	30179	+	241	upstream	241	SRRM1
chr1	24969377	24969491	115	*	X00159	10250	24969594	24999772	30179	+	102	upstream	102	SRRM1
chr1	24969542	24969563	22	*	X00160	10250	24969594	24999772	30179	+	30	upstream	30	SRRM1
chr1	24969589	24969738	150	*	X00161	10250	24969594	24999772	30179	+	0	overlapStart	0	SRRM1
chr1	24969758	24969901	144	*	X00162	10250	24969594	24999772	30179	+	0	inside	163	SRRM1
chr1	25664858	25664965	108	*	X00167	23585	25664789	25688852	24064	+	0	inside	68	TMEM50A
chr1	25664858	25664965	108	*	X00167	57035	25568740	25664656	95917	-	201	upstream	201	RSRP1
chr1	25756562	25756629	68	*	X00168	55219	25757388	25826698	69311	+	758	upstream	758	MACO1
chr1	25756562	25756629	68	*	X00168	6006	25688740	25756683	67944	-	0	inside	53	RHCE
chr1	25756643	25756790	148	*	X00169	55219	25757388	25826698	69311	+	597	upstream	597	MACO1
chr1	25756643	25756790	148	*	X00169	6006	25688740	25756683	67944	-	0	overlapStart	0	RHCE
chr1	25756874	25756921	48	*	X00170	55219	25757388	25826698	69311	+	466	upstream	466	MACO1
chr1	25756874	25756921	48	*	X00170	6006	25688740	25756683	67944	-	190	upstream	190	RHCE
chr1	26146285	26146524	240	*	X00171	56181	26146397	26159433	13037	+	0	overlapStart	0	MTFR1L
chr1	26185752	26185981	230	*	X00172	79000	26160497	26185848	25352	-	0	overlapStart	0	AUNIP
chr1	26232784	26232976	193	*	X00176	100500808	26232853	26232945	93	-	0	includeFeature	0	MIR3917
chr1	26324504	26324671	168	*	X00177	5051	26286258	26324648	38391	-	0	overlapStart	0	PAFAH2
chr1	26496341	26496466	126	*	X00178	51042	26496388	26497364	977	+	0	overlapStart	0	ZNF593
chr1	26737311	26737350	40	*	X00179	79727	26737269	26756219	18951	+	0	inside	41	LIN28A
chr1	26758689	26758700	12	*	X00180	79947	26758773	26797795	39023	+	72	upstream	72	DHDDS
chr1	26758814	26758883	70	*	X00181	79947	26758773	26797795	39023	+	0	inside	40	DHDDS
chr1	27021918	27022327	410	*	X00188	8289	27022522	27108601	86080	+	194	upstream	194	ARID1A
chr1	27114244	27114462	219	*	X00189	55650	27114454	27124894	10441	+	0	overlapStart	0	PIGV
chr1	27216532	27216575	44	*	X00190	54707	27205873	27216869	10997	-	0	inside	293	GPN2
chr1	27216721	27216735	15	*	X00191	54707	27205873	27216869	10997	-	0	inside	133	GPN2
chr1	27248324	27248349	26	*	X00192	10726	27248213	27273362	25150	+	0	inside	110	NUDC
chr1	27286840	27286908	69	*	X00193	126695	27276047	27286901	10855	-	0	overlapStart	0	KDF1
chr1	27320162	27320338	177	*	X00194	388610	27320195	27327377	7183	+	0	overlapStart	0	TRNP1
chr1	27481453	27481559	107	*	X00195	6548	27425300	27481621	56322	-	0	inside	61	SLC9A1
chr1	27648617	27648980	364	*	X00196	644961	27650365	27653016	2652	+	1384	upstream	1384	ACTG1P20
chr1	27648617	27648980	364	*	X00196	84065	27648636	27662891	14256	+	0	overlapStart	0	TMEM222
chr1	27930203	27930334	132	*	X00199	27245	27860756	27930361	69606	-	0	inside	26	AHDC1
chr1	28099708	28099901	194	*	X00200	23673	28099694	28150963	51270	+	0	inside	13	STX12
chr1	28157105	28157448	344	*	X00201	5511	28157252	28178183	20932	+	0	overlapStart	0	PPP1R8
chr1	28241142	28241358	217	*	X00202	6118	28218049	28241236	23188	-	0	overlapStart	0	RPA2
chr1	28559524	28559553	30	*	X00203	22826	28526790	28559542	32753	-	0	overlapStart	0	DNAJC8
chr1	28562668	28562700	33	*	X00204	93974	28562602	28564616	2015	+	0	inside	65	ATP5IF1
chr1	28562727	28562759	33	*	X00205	93974	28562602	28564616	2015	+	0	inside	124	ATP5IF1
chr1	28586054	28586578	525	*	X00206	83667	28585963	28609002	23040	+	0	inside	90	SESN2
chr1	28655549	28655723	175	*	X00207	54797	28655513	28662478	6966	+	0	inside	35	MED18
chr1	28696141	28696359	219	*	X00208	65979	28696093	28826881	130789	+	0	inside	47	PHACTR4
chr1	28832470	28832692	223	*	X00209	1104	28832455	28865708	33254	+	0	inside	14	RCC1
chr1	28832470	28832692	223	*	X00209	8420	28832455	28837404	4950	+	0	inside	14	SNHG3
chr1	28879353	28879381	29	*	X00214	54952	28879529	28905057	25529	+	147	upstream	147	TRNAU1AP
chr1	28879470	28879687	218	*	X00215	54952	28879529	28905057	25529	+	0	overlapStart	0	TRNAU1AP
chr1	28879754	28879767	14	*	X00216	54952	28879529	28905057	25529	+	0	inside	224	TRNAU1AP
chr1	28907975	28908664	690	*	X00217	677825	28906893	28907024	132	-	950	upstream	950	SNORA44
chr1	28907975	28908664	690	*	X00217	677838	28906276	28906405	130	-	1569	upstream	1569	SNORA61
chr1	28907975	28908664	690	*	X00217	692073	28907432	28907565	134	-	409	upstream	409	SNORA16A
chr1	28907975	28908664	690	*	X00217	85028	28905050	28908383	3334	-	0	overlapStart	0	SNHG12
chr1	28969434	28969767	334	*	X00218	6883	28929609	28969604	39996	-	0	overlapStart	0	TAF12
chr1	28974991	28975152	162	*	X00219	26824	28975112	28975246	135	+	0	overlapStart	0	RNU11
chr1	28995197	28995204	8	*	X00221	10691	28995240	29042115	46876	+	35	upstream	35	GMEB1
chr1	28995464	28995501	38	*	X00222	10691	28995240	29042115	46876	+	0	inside	223	GMEB1
chr1	29063165	29063654	490	*	X00223	51441	29063133	29096287	33155	+	0	inside	31	YTHDF2
chr1	31538446	31538549	104	*	X00233	9698	31404353	31538763	134411	-	0	inside	213	PUM1
chr1	31538632	31538650	19	*	X00234	9698	31404353	31538763	134411	-	0	inside	112	PUM1
chr1	32479424	32479571	148	*	X00239	10657	32479295	32526460	47166	+	0	inside	128	KHDRBS1
chr1	32538354	32538674	321	*	X00241	55116	32538503	32568467	29965	+	0	overlapStart	0	TMEM39B
chr1	32573621	32573714	94	*	X00242	23633	32573644	32642168	68525	+	0	overlapStart	0	KPNA6
chr1	32573756	32573774	19	*	X00243	23633	32573644	32642168	68525	+	0	inside	111	KPNA6
chr1	32645250	32645567	318	*	X00244	200081	32645345	32663886	18542	+	0	overlapStart	0	TXLNA
chr1	32645618	32645657	40	*	X00245	200081	32645345	32663886	18542	+	0	inside	272	TXLNA
chr1	32757753	32758067	315	*	X00246	3065	32757708	32799224	41517	+	0	inside	44	HDAC1
chr1	32801589	32801602	14	*	X00249	65108	32799430	32801840	2411	-	0	inside	237	MARCKSL1
chr1	32801721	32801782	62	*	X00250	65108	32799430	32801840	2411	-	0	inside	57	MARCKSL1
chr1	32801811	32801838	28	*	X00251	65108	32799430	32801840	2411	-	0	inside	1	MARCKSL1
chr1	32860220	32860280	61	*	X00253	55108	32830705	32860062	29358	-	157	upstream	157	BSDC1
chr1	32860326	32860427	102	*	X00254	55108	32830705	32860062	29358	-	263	upstream	263	BSDC1
chr1	33116623	33116956	334	*	X00255	339487	33065773	33116185	50413	-	437	upstream	437	ZBTB8OS
chr1	33116623	33116956	334	*	X00255	5928	33116749	33151812	35064	+	0	overlapStart	0	RBBP4
chr1	33282835	33283020	186	*	X00257	64766	33283043	33324480	41438	+	22	upstream	22	S100PBP
chr1	33283177	33283213	37	*	X00258	64766	33283043	33324480	41438	+	0	inside	133	S100PBP
chr1	33430285	33430510	226	*	X00261	127544	33402050	33430286	28237	-	0	overlapStart	0	RNF19B
chr1	33722386	33722711	326	*	X00263	149076	33722174	33766320	44147	+	0	inside	211	ZNF362
chr1	35325236	35325257	22	*	X00264	113444	35315963	35325417	9455	-	0	inside	159	SMIM12
chr1	35325290	35325417	128	*	X00265	113444	35315963	35325417	9455	-	0	inside	0	SMIM12
chr1	35658246	35658536	291	*	X00267	6421	35649201	35658743	9543	-	0	inside	206	SFPQ
chr1	35658552	35658739	188	*	X00268	6421	35649201	35658743	9543	-	0	inside	3	SFPQ
chr1	35734266	35734330	65	*	X00269	9202	35734568	35887545	152978	+	237	upstream	237	ZMYM4
chr1	35734383	35734533	151	*	X00270	9202	35734568	35887545	152978	+	34	upstream	34	ZMYM4
chr1	36023345	36023429	85	*	X00271	23154	36023393	36032380	8988	+	0	overlapStart	0	NCDN
chr1	36023345	36023429	85	*	X00271	79932	35899091	36023551	124461	-	0	inside	121	KIAA0319L
chr1	36107053	36107237	185	*	X00272	5690	36035413	36107445	72033	-	0	inside	207	PSMB2
chr1	36396475	36397001	527	*	X00275	192669	36396319	36522063	125745	+	0	inside	155	AGO3
chr1	36554459	36554707	249	*	X00276	54936	36554453	36559533	5081	+	0	inside	5	ADPRS
chr1	36554720	36554749	30	*	X00277	54936	36554453	36559533	5081	+	0	inside	266	ADPRS
chr1	36863403	36863491	89	*	X00280	84967	36859031	36863493	4463	-	0	inside	1	LSM10
chr1	36863506	36863544	39	*	X00281	84967	36859031	36863493	4463	-	12	upstream	12	LSM10
chr1	36929803	36930172	370	*	X00282	64960	36921362	36930040	8679	-	0	overlapStart	0	MRPS15
chr1	37980224	37980408	185	*	X00283	64769	37955561	37980420	24860	-	0	inside	11	MEAF6
chr1	37980449	37980570	122	*	X00284	64769	37955561	37980420	24860	-	28	upstream	28	MEAF6
chr1	38259872	38259902	31	*	X00285	149175	38259774	38267278	7505	+	0	inside	97	MANEAL
chr1	38455526	38455765	240	*	X00286	10946	38422652	38455761	33110	-	0	overlapStart	0	SF3A3
chr1	39456875	39457059	185	*	X00289	79647	39456916	39471737	14822	+	0	overlapStart	0	AKIRIN1
chr1	40042303	40042315	13	*	X00294	8761	40026485	40042521	16037	-	0	inside	205	PABPC4
chr1	40042370	40042664	295	*	X00295	8761	40026485	40042521	16037	-	0	overlapStart	0	PABPC4
chr1	40204540	40204554	15	*	X00296	10450	40204517	40229586	25070	+	0	inside	22	PPIE
chr1	40348974	40349274	301	*	X00297	54802	40306706	40349177	42472	-	0	overlapStart	0	TRIT1
chr1	40367433	40367616	184	*	X00300	4610	40361096	40367687	6592	-	0	inside	70	MYCL
chr1	40562826	40563018	193	*	X00301	5538	40538382	40563142	24761	-	0	inside	123	PPT1
chr1	40626915	40627210	296	*	X00302	6018	40627041	40706593	79553	+	0	overlapStart	0	RLF
chr1	40627248	40627281	34	*	X00303	6018	40627041	40706593	79553	+	0	inside	206	RLF
chr1	40723384	40723673	290	*	X00306	10269	40723722	40759856	36135	+	48	upstream	48	ZMPSTE24
chr1	40723832	40724046	215	*	X00307	10269	40723722	40759856	36135	+	0	inside	109	ZMPSTE24
chr1	40915749	40915816	68	*	X00308	65243	40915774	40929390	13617	+	0	overlapStart	0	ZFP69B
chr1	40915923	40915952	30	*	X00309	65243	40915774	40929390	13617	+	0	inside	148	ZFP69B
chr1	41157240	41157271	32	*	X00310	4802	41157242	41237276	80035	+	0	overlapStart	0	NFYC
chr1	41157304	41157561	258	*	X00311	4802	41157242	41237276	80035	+	0	inside	61	NFYC
chr1	41157807	41157983	177	*	X00312	100130557	41154752	41157933	3182	-	0	overlapStart	0	NFYC-AS1
chr1	42922015	42922115	101	*	X00315	79717	42922173	42926086	3914	+	57	upstream	57	PPCS
chr1	42922015	42922115	101	*	X00315	84217	42896001	42921938	25938	-	76	upstream	76	ZMYND12
chr1	42922135	42922368	234	*	X00316	79717	42922173	42926086	3914	+	0	overlapStart	0	PPCS
chr1	42922135	42922368	234	*	X00316	84217	42896001	42921938	25938	-	196	upstream	196	ZMYND12
chr1	43124057	43124161	105	*	X00317	10465	43124048	43142429	18382	+	0	inside	8	PPIH
chr1	43423793	43423849	57	*	X00320	440584	43424720	43449029	24310	+	870	upstream	870	SLC2A1-AS1
chr1	43424684	43424709	26	*	X00321	440584	43424720	43449029	24310	+	10	upstream	10	SLC2A1-AS1
chr1	43424684	43424709	26	*	X00321	6513	43391046	43424847	33802	-	0	inside	137	SLC2A1
chr1	43996507	43996601	95	*	X00323	5792	43996547	44089343	92797	+	0	overlapStart	0	PTPRF
chr1	44399176	44399222	47	*	X00330	9048	44398992	44402912	3921	+	0	inside	183	ARTN
chr1	44678893	44679298	406	*	X00332	55929	44679125	44686351	7227	+	0	overlapStart	0	DMAP1
chr1	44870915	44871018	104	*	X00333	55182	44870960	45117396	246437	+	0	overlapStart	0	RNF220
chr1	44871035	44871051	17	*	X00334	55182	44870960	45117396	246437	+	0	inside	74	RNF220
chr1	44871104	44871143	40	*	X00335	55182	44870960	45117396	246437	+	0	inside	143	RNF220
chr1	45241076	45241573	498	*	X00341	26811	45241537	45241610	74	+	0	overlapStart	0	SNORD55
chr1	45241076	45241573	498	*	X00341	6202	45241246	45244412	3167	+	0	overlapStart	0	RPS8
chr1	45241076	45241573	498	*	X00341	94161	45242164	45242261	98	+	590	upstream	590	SNORD46
chr1	45241076	45241573	498	*	X00341	94162	45243514	45243584	71	+	1940	upstream	1940	SNORD38A
chr1	45266043	45266062	20	*	X00342	1263	45266036	45271667	5632	+	0	inside	6	PLK3
chr1	45266121	45266133	13	*	X00343	1263	45266036	45271667	5632	+	0	inside	84	PLK3
chr1	45452137	45452232	96	*	X00346	8891	45316194	45452394	136201	-	0	inside	161	EIF2B3
chr1	45477039	45477052	14	*	X00347	7389	45477805	45481341	3537	+	752	upstream	752	UROD
chr1	45477039	45477052	14	*	X00347	79654	45468220	45477027	8808	-	11	upstream	11	HECTD3
chr1	45477831	45477831	1	*	X00348	7389	45477805	45481341	3537	+	0	inside	25	UROD
chr1	45477831	45477831	1	*	X00348	79654	45468220	45477027	8808	-	803	upstream	803	HECTD3
chr1	45672044	45672188	145	*	X00350	57643	45482076	45672250	190175	-	0	inside	61	ZSWIM5
chr1	45672203	45672319	117	*	X00351	57643	45482076	45672250	190175	-	0	overlapStart	0	ZSWIM5
chr1	45805844	45805881	38	*	X00353	4595	45794914	45806142	11229	-	0	inside	260	MUTYH
chr1	45965714	45965735	22	*	X00354	126661	45959598	45965751	6154	-	0	inside	15	CCDC163
chr1	45965714	45965735	22	*	X00354	25974	45965856	45976739	10884	+	120	upstream	120	MMACHC
chr1	46049609	46049960	352	*	X00356	4678	46049660	46084578	34919	+	0	overlapStart	0	NASP
chr1	46152131	46152228	98	*	X00358	51249	46153847	46160108	6262	+	1618	upstream	1618	TMEM69
chr1	46152131	46152228	98	*	X00358	60313	46092976	46152302	59327	-	0	inside	73	GPBP1L1
chr1	46153625	46153997	373	*	X00359	51249	46153847	46160108	6262	+	0	overlapStart	0	TMEM69
chr1	46153625	46153997	373	*	X00359	60313	46092976	46152302	59327	-	1322	upstream	1322	GPBP1L1
chr1	46269271	46269374	104	*	X00360	23139	46269285	46501796	232512	+	0	overlapStart	0	MAST2
chr1	46269388	46269404	17	*	X00361	23139	46269285	46501796	232512	+	0	inside	102	MAST2
chr1	46668788	46668933	146	*	X00364	541468	46669006	46686928	17923	+	72	upstream	72	LURAP1
